name,gender,age,likeable,creative,emotionally balanced,extrovert,no-coherence,narcissus,temperamental,reliable,fitness_trust,other_trust,follow,reasons,category
missmiafit,Γυναίκα,24,2,3,2,5,3,5,2,3,2,2,Όχι,"τιποτα, δεν μ αρεσει το προφιλ της",body_building
catmeffan,Γυναίκα,28,4,2,4,2,4,2,2,4,4,2,Όχι,αναρτά ενδιαφέρον περιεχόμενο,yoga
joeyswoll,Άντρας,24,2,3,3,4,1,4,3,4,2,1,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
lamise,Γυναίκα,28,5,2,4,3,4,2,2,4,4,3,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,yoga
chelseasyoga,Γυναίκα,28,2,1,4,2,1,2,2,5,5,2,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,yoga
joshkrameryoga,Γυναίκα,28,3,5,4,1,1,4,2,5,5,2,Ναι,έχει ωραίο σώμα;έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,yoga
ryan_spiteri,Άντρας,24,4,4,4,3,1,3,1,5,5,3,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
lindseyvonn,Άντρας,24,5,3,4,5,4,5,1,3,3,3,Όχι,έχει ωραίο σώμα;έχει ωραίο lifestyle,athlete
ainsley,Άντρας,24,5,4,4,5,3,4,1,4,5,3,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;έχει ωραίο σώμα;έχει ωραίο lifestyle,nutrition
valentinalequeux,Άντρας,24,5,4,4,4,3,4,1,5,5,3,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;έχει ωραίο σώμα;έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,body_building
stephaniesanzo,Άντρας,24,3,3,4,3,1,4,4,4,3,1,Όχι,έχει ωραίο σώμα,body_building
jamie.bisset,Άντρας,24,4,5,4,4,2,3,3,4,5,3,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
larrywheels,Άντρας,24,2,3,2,5,4,4,4,4,3,1,Όχι,έχει ωραίο σώμα,athlete
laurensimpson,Άντρας,24,5,5,4,5,2,5,1,4,4,3,Ναι,έχει ωραίο σώμα;έχει ωραίο lifestyle,body_building
johannesbartl,Άντρας,24,3,2,5,5,5,3,1,4,4,1,Ναι,έχει ωραίο lifestyle,body_building
lyzabethlopez,Άντρας,24,5,4,5,4,3,5,1,4,5,1,Ναι,έχει ωραίο σώμα;έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,body_building
melissawoodhealth,Γυναίκα,28,2,1,3,5,4,5,2,2,3,1,Όχι,έχει ωραίο σώμα,yoga
brittnebabe,Άντρας,24,4,4,3,5,5,5,1,4,3,3,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;έχει ωραίο σώμα;έχει ωραίο lifestyle,body_building
yanitayancheva,Άντρας,24,5,5,5,5,4,5,1,4,4,3,Ναι,έχει ωραίο σώμα;έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,body_building
bohobeautifullife,Γυναίκα,28,3,4,4,5,4,4,3,2,2,1,Όχι,αναρτά ενδιαφέρον περιεχόμενο,yoga
jennyredfordpilates,Γυναίκα,28,4,2,4,2,2,2,2,5,5,3,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,pilates
wundabarpilates,Γυναίκα,28,3,1,2,4,3,3,2,2,2,2,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,pilates
yoga_girl,Άντρας,25,4,3,5,5,2,1,4,3,4,4,Όχι,έχει ωραίο σώμα;έχει ωραίο lifestyle,yoga
brittnebabe,Άντρας,25,3,4,3,2,3,4,3,4,4,2,Όχι,έχει ωραίο σώμα,body_building
tavicastro,Άντρας,25,3,5,4,5,2,3,3,3,5,2,Όχι,έχει ωραίο lifestyle,body_building
theiobot,Άντρας,25,4,3,5,5,5,1,4,3,1,4,Όχι,αναρτά ενδιαφέρον περιεχόμενο,fitness_model
Jamie.bisset,Άντρας,25,4,5,3,1,5,4,4,5,5,3,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;αναρτά ενδιαφέρον περιεχόμενο,body_building
dustinpoirier,Άντρας,25,2,2,3,4,4,3,3,3,3,3,Όχι,αναρτά ενδιαφέρον περιεχόμενο,athlete
flexatronrhoden,Γυναίκα,25,3,1,3,1,5,4,3,3,1,1,Όχι,Τιποτα,body_building
frank_medrano,Γυναίκα,25,5,3,5,3,2,1,2,4,4,3,Ναι,έχει ωραίο lifestyle,body_building
Hannaoeberg,Γυναίκα,25,4,3,4,4,2,2,2,4,4,3,Όχι,έχει ωραίο lifestyle,fitness_model
casssmartin,Γυναίκα,25,4,1,2,3,2,2,4,3,2,2,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,fitness_model
c.t.ali.fletcher,Γυναίκα,25,4,1,4,4,4,2,2,2,2,4,Όχι,Τιποτα,body_building
