hashtags,x,y
posteriorchain,-0.033846027174941305,-0.0076498557662134726
bootylifter,-0.03498880437732247,-0.01714530493794487
upperbodyworkout,-0.03262713652217075,-0.014889757770720359
homeexercise,-0.032463835202384814,-0.0148189278082083
absworkout,-0.032386046856546474,-0.014858147798430423
upperback,-0.034984060101556774,-0.016603504409840132
upperbackworkout,-0.03416027498408727,-0.01575640754038935
bootyworkouts,-0.034205917503510354,-0.015546572910452026
posterior,-0.03209250862837335,-0.014954502845277681
booty,-0.03313194589352161,-0.015396901380176714
glutes,-0.03243131421476871,-0.0153137435760223
pilateslovers,-0.03281627288546988,-0.015520574862485426
postureperfectexercises,-0.032191298309758726,-0.015061425892579127
legsworkout,-0.03361145647684277,-0.015279488096935086
hamstringworkout,-0.03353975908443437,-0.015655511349420125
barreinstructortrainjng,-0.03617304325344492,-0.01725451383588
barrecommunity,-0.03216473238277009,-0.015118058417438624
bootylift,-0.03225239263056792,-0.014975178831336427
barrebooty,-0.032341295518018474,-0.015112440429632779
barreteachertraining,-0.03236632762988526,-0.015244963405049107
bootyfordays,-0.0360020669303538,-0.018936184830502283
barrefriendsworldwide,-0.03365985275196553,-0.014840781525660249
barreody,-0.039851265160562276,0.04622569268816849
lowerbodysculpt,-0.03421776175042024,-0.012131840132558929
lowerbody,-0.03366407899528132,-0.015984176628512273
legsfordays,-0.039851265160562276,0.04622569268816849
pilatesbarre,-0.03376839751467728,-0.015782064817994487
weekendworkout,-0.036061138116097534,-0.014909251357081111
abdominals,-0.03781869510716061,-0.02109340505485504
corestrength,-0.032044039330402334,-0.014904885722812641
abs,-0.045124689492701237,-0.040404813694929494
sixpackabs,-0.045124689492701237,-0.040404813694929494
innerthigh,-0.045124689492701237,-0.040404813694929494
toneybandsthursday,-0.045124689492701237,-0.040404813694929494
abdominal,-0.045124689492701237,-0.040404813694929494
homeexercises,-0.045124689492701237,-0.040404813694929494
abdominalworkout,-0.045124689492701237,-0.040404813694929494
corestability,-0.045124689492701237,-0.040404813694929494
core,-0.045124689492701237,-0.040404813694929494
innerthighs,-0.045124689492701237,-0.040404813694929494
toneybands,-0.04450405019387535,-0.03914915227760345
barreless,-0.045090636388650275,-0.04026896011678361
innerthighworkout,-0.045090636388650275,-0.04026896011678361
pilatesgal,-0.045090636388650275,-0.04026896011678361
santabarbara,-0.045090636388650275,-0.04026896011678361
inspiringwomen,-0.045090636388650275,-0.04026896011678361
inspirationalwomen,-0.045090636388650275,-0.04026896011678361
inspirationalquotes,-0.045090636388650275,-0.04026896011678361
dancerspose,-0.045090636388650275,-0.04026896011678361
earthday2021,-0.034904833437225384,-0.017876182416996397
beachbody,-0.0448264563361636,-0.03909634516012169
california,-0.045090636388650275,-0.04026896011678361
greenlifestyle,-0.0448264563361636,-0.03909634516012169
gogreen,-0.0448264563361636,-0.03909634516012169
motivation,-0.0448264563361636,-0.03909634516012169
yogagal,-0.04396039320923459,-0.03726180727697585
sideplank,-0.03294492832901364,-0.016142787535211686
inspiration,-0.03294492832901364,-0.016142787535211686
fitnessmotivation,-0.03294492832901364,-0.016142787535211686
beachpilates,-0.04365460225869024,-0.036702442143562955
fitfam,-0.04365460225869024,-0.036702442143562955
EARTHDAY,-0.03485481178466546,-0.016786849441707084
inspirationalthoughts,-0.03834450627458892,-0.021339197814325653
greenlife,-0.03921357843302666,-0.022203577284659246
thighworkout,-0.03439647097883744,-0.016938386320863016
glutes🍑,-0.035787744211518334,-0.018054896796376726
bootybuilder,-0.03646706327577476,-0.026343488554088263
hamstringsworkout,-0.03545594568227313,-0.0176907017299213
hamstrings,-0.03697434759543323,-0.018880295533356725
fitnesslove,-0.038748781217975516,-0.013546978460560194
thighexercises,-0.037900538647514644,-0.002866100514416055
