timestamp,name,gender,age,συμπαθές,δημιουργικό,ήρεμο/συναισθηματικά ισορροπημένο,εξωστρεφές,συνοχή,εγωκεντρικό / νάρκισσος,ευέξαπτο,αξιόπιστο / σωστός επαγγελματίας,εμπιστευόμουν για θέματα fitness,εμπιστευόμουν για τομέα διαφορετικό,follow,reasons,category
2021/05/01 6:08:18 μ.μ. GMT+3,balletbeautiful ,Γυναίκα,24,5,5,5,5,5,1,1,3,4,4,Ναι,έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,dance
2021/05/01 6:24:25 μ.μ. GMT+3,balletbeautiful ,Γυναίκα,24,5,5,5,5,5,1,1,3,4,4,Ναι,έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,dance
2021/05/01 6:26:11 μ.μ. GMT+3,Theballerina ,Γυναίκα,24,5,5,4,5,4,2,1,5,4,5,Ναι,έχει ωραίο σώμα;έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,dance
2021/05/01 6:34:22 μ.μ. GMT+3,naturally.sassy,Γυναίκα,24,5,5,5,5,5,1,1,5,5,5,Ναι,αναρτά ενδιαφέρον περιεχόμενο,dance
2021/05/01 6:47:02 μ.μ. GMT+3,Espana927,Γυναίκα,17,4,3,3,3,1,2,2,4,3,3,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,
2021/05/01 6:50:51 μ.μ. GMT+3,sommerray,Άντρας,28,5,4,3,5,4,3,2,4,5,3,Ναι,αναρτά ενδιαφέρον περιεχόμενο,fitness_model
2021/05/01 6:52:02 μ.μ. GMT+3,Kathryn.morgan ,Γυναίκα,24,5,4,5,3,5,1,1,5,2,4,Ναι,έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,
2021/05/01 6:52:46 μ.μ. GMT+3,Theballerina ,Γυναίκα,24,5,5,4,5,4,2,1,5,4,5,Ναι,έχει ωραίο σώμα;έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,dance
2021/05/01 6:52:46 μ.μ. GMT+3,balletbeautiful ,Γυναίκα,24,5,5,5,5,5,1,1,3,4,4,Ναι,έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,dance
2021/05/01 6:56:42 μ.μ. GMT+3,Stevecook,Γυναίκα,17,3,3,3,4,3,3,2,4,3,2,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
2021/05/01 7:01:52 μ.μ. GMT+3,c.t.ali.fletcher ,Γυναίκα,17,4,3,3,4,3,3,3,3,3,3,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
2021/05/01 7:13:40 μ.μ. GMT+3,mandysacs,Γυναίκα,24,2,2,3,3,4,5,4,4,2,1,Όχι,έχει ωραίο σώμα,athlete
2021/05/01 7:14:41 μ.μ. GMT+3,shonda1020,Γυναίκα,24,4,4,4,4,5,2,2,4,4,3,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,nutrition
