Account,User Name,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Views,URL,Link,Photo,Title,Description,Image Text,Sponsor Id,Sponsor Name,Overperforming Score (weighted  —  Likes 1x Comments 1x )
Amanda Lee,amandaeliselee,11180624,2018-01-07 15:04:46 EST,2018-01-07,15:04:46,Photo,"456,805",451208,5597,0,https://www.instagram.com/p/BdqTdADjQCS/,https://www.instagram.com/p/BdqTdADjQCS/,https://scontent.xx.fbcdn.net/v/t51.2885-15/25036096_417757425325985_4882203992400068608_n.jpg?_nc_cat=102&_nc_ohc=jHNplzTf2B0AX__5ulE&_nc_ht=scontent.xx&oh=b7c56c703cdd3b3fd859b9c27c283e84&oe=5E77C746,,Let’s go on a living spree,,,,2
Amanda Lee,amandaeliselee,11175196,2018-01-06 13:36:48 EST,2018-01-06,13:36:48,Photo,"643,880",635527,8353,0,https://www.instagram.com/p/Bdnkl57jeA_/,https://www.instagram.com/p/Bdnkl57jeA_/,https://scontent.xx.fbcdn.net/v/t51.2885-15/26156519_790212447853545_8177519681775599616_n.jpg?_nc_cat=109&_nc_ohc=bi_ov76B3ZUAX95BwaV&_nc_ht=scontent.xx&oh=852179641c372047f18e2acbcd43b4ac&oe=5E8CE00D,,"I ♥️ you, Mexico",,,,2.82
Amanda Lee,amandaeliselee,11105450,2017-12-29 16:33:11 EST,2017-12-29,16:33:11,Photo,"435,030",429883,5147,0,https://www.instagram.com/p/BdTSayGDSN0/,https://www.instagram.com/p/BdTSayGDSN0/,https://scontent.xx.fbcdn.net/v/t51.2885-15/25037452_590598337937908_2123130092509986816_n.jpg?_nc_cat=110&_nc_ohc=Xz1APaq5OVsAX-Mc4lx&_nc_ht=scontent.xx&oh=7cb3dd5c46808c027ac03ed16e90de2e&oe=5E7614B4,,Boots with the fur 🐾,,,,1.9
Amanda Lee,amandaeliselee,11078051,2017-12-26 20:39:47 EST,2017-12-26,20:39:47,Video,"162,587",159487,3100,2181460,https://www.instagram.com/p/BdL_4STj4p4/,https://www.instagram.com/p/BdL_4STj4p4/,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/26072185_2022480971331260_7545467140535484416_n.jpg,,"Fueling my workout with some #Champagne @bangenergy just in time for New Years 🎉😄 Thank you to the owner of #bangenergy @vpxredlineceo 🙌🏻 Cardio booty circuit 💪🏻 Jump squats 15 reps, Donkey kicks 25 reps, side lunge in place w Bosu ball 15 reps, outer thigh clam w band 30reps. Repeat 3xs",,,,2.44
Amanda Lee,amandaeliselee,11005013,2017-12-17 14:53:11 EST,2017-12-17,14:53:11,Photo,"574,475",564980,9495,0,https://www.instagram.com/p/Bc0NbyajbGP/,https://www.instagram.com/p/Bc0NbyajbGP/,https://scontent.xx.fbcdn.net/v/t51.2885-15/25008239_1587696437993080_3569548926023368704_n.jpg?_nc_cat=103&_nc_ohc=Mwln06iaSMoAX_xXTpX&_nc_ht=scontent.xx&oh=e82ab4c3ca41bdbdba22ec109672a411&oe=5E8BF1AE,,Pumpkin spice 🧡,,,,2.51
Amanda Lee,amandaeliselee,10952128,2017-12-09 20:53:44 EST,2017-12-09,20:53:44,Photo,"458,287",451617,6670,0,https://www.instagram.com/p/BcgQVnejF9a/,https://www.instagram.com/p/BcgQVnejF9a/,https://scontent.xx.fbcdn.net/v/t51.2885-15/24178117_1641416605917333_8119796111591342080_n.jpg?_nc_cat=100&_nc_ohc=2yQRCxOvNk8AX-x8Eca&_nc_ht=scontent.xx&oh=2ffe18ec8eafd293edda19a1f4a2a11d&oe=5E7729A6,,crazy sexy cool,,,,2
Amanda Lee,amandaeliselee,10811388,2017-11-19 11:58:03 EST,2017-11-19,11:58:03,Photo,"498,802",493551,5251,0,https://www.instagram.com/p/BbrzIlMj-ix/,https://www.instagram.com/p/BbrzIlMj-ix/,https://scontent.xx.fbcdn.net/v/t51.2885-15/23734415_2042494805980080_4814259993484197888_n.jpg?_nc_cat=101&_nc_ohc=n9-X9ab__P0AX_Wi7fK&_nc_ht=scontent.xx&oh=7f2ae8825f1f9c391b32db1da4281eab&oe=5E76DA6B,,Stay motivated during the holidays with my super easy to follow fitness & meal plans 💪🏻🍁😁 Includes email access to me for any questions and help along the way! 💕 Send before & after pics to be featured on my page 🏋🏼‍♀️ Can’t wait to help you reach your goals! #builtnotbought,,,,2.18
Amanda Lee,amandaeliselee,10604414,2017-10-18 13:32:38 EDT,2017-10-18,13:32:38,Photo,"422,970",415281,7689,0,https://www.instagram.com/p/BaZdp5pjjLG/,https://www.instagram.com/p/BaZdp5pjjLG/,https://scontent.xx.fbcdn.net/v/t51.2885-15/22637721_338092159986450_7268837917726867456_n.jpg?_nc_cat=107&_nc_ohc=Wimq439KOJAAX874IiI&_nc_ht=scontent.xx&oh=f0d931bc3804ab10ef1fd356e593de91&oe=5E777ECA,,Baby girl 🌸,,,,1.85
Amanda Lee,amandaeliselee,10400011,2017-09-25 11:52:36 EDT,2017-09-25,11:52:36,Photo,"348,144",341893,6251,0,https://www.instagram.com/p/BZeD7IqDy8Z/,https://www.instagram.com/p/BZeD7IqDy8Z/,https://scontent.xx.fbcdn.net/v/t51.2885-15/21910796_355206658254611_1018536118263480320_n.jpg?_nc_cat=101&_nc_ohc=peQlil43P7EAX88HLvl&_nc_ht=scontent.xx&oh=a27f648791e206e770d42f7e9ae368f0&oe=5E8930F4,,Breakfast at Tiffany's 💅,,,,1.52
Amanda Lee,amandaeliselee,10301255,2017-09-10 14:58:26 EDT,2017-09-10,14:58:26,Photo,"433,293",424161,9132,0,https://www.instagram.com/p/BY3xREOjjdi/,https://www.instagram.com/p/BY3xREOjjdi/,https://scontent.xx.fbcdn.net/v/t51.2885-15/21436190_116204752425166_7096179235995254784_n.jpg?_nc_cat=106&_nc_ohc=RsBkayq7lYcAX-mSvZg&_nc_ht=scontent.xx&oh=d64eb11d638aa8ab8c7230cb40a7ee97&oe=5E885EF5,,Buongiorno,,,,1.9
Amanda Lee,amandaeliselee,10268545,2017-09-06 10:50:55 EDT,2017-09-06,10:50:55,Photo,"336,794",331995,4799,0,https://www.instagram.com/p/BYtBwvyjvvO/,https://www.instagram.com/p/BYtBwvyjvvO/,https://scontent-sjc3-1.cdninstagram.com/v/t51.2885-15/21373766_121249971863978_1140057806972387328_n.jpg?_nc_cat=105&ccb=3&_nc_sid=8ae9d6&_nc_ohc=UyLlCDg5Jk8AX_tD6XN&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=f54ca99d1669ec4a2248532e999b45ca&oe=60598AB8,,Voglio vivere qui ✨,,,,1.43
Amanda Lee,amandaeliselee,10229936,2017-09-03 11:45:31 EDT,2017-09-03,11:45:31,Photo,"395,126",390028,5098,0,https://www.instagram.com/p/BYlZn-2DQiJ/,https://www.instagram.com/p/BYlZn-2DQiJ/,https://scontent.xx.fbcdn.net/v/t51.2885-15/21294945_132588200697460_4599580116232699904_n.jpg?_nc_cat=107&_nc_ohc=Z8lXKz980p8AX_X5TuC&_nc_ht=scontent.xx&oh=62779e768efd96f82e59f5a73d82ae02&oe=5E89CF37,,La vita e bella 💗,,,,1.73
Amanda Lee,amandaeliselee,10080025,2017-08-18 15:38:28 EDT,2017-08-18,15:38:28,Photo,"392,966",386836,6130,0,https://www.instagram.com/p/BX8nkIWj82S/,https://www.instagram.com/p/BX8nkIWj82S/,https://scontent.xx.fbcdn.net/v/t51.2885-15/20838580_430619920672397_5113428895424577536_n.jpg?_nc_cat=102&_nc_ohc=GqFkJ1kNxV4AX_M7Xvb&_nc_ht=scontent.xx&oh=51a2785f401e295c5a39527670899631&oe=5E7605D0,,"What, like it's hard? 🤓",,,,1.72
Amanda Lee,amandaeliselee,9644528,2017-07-12 12:56:17 EDT,2017-07-12,12:56:17,Photo,"375,439",369821,5618,0,https://www.instagram.com/p/BWdDl9jjxrC/,https://www.instagram.com/p/BWdDl9jjxrC/,https://scontent.xx.fbcdn.net/v/t51.2885-15/19954962_1836507693343820_861763618616639488_n.jpg?_nc_cat=100&_nc_ohc=w6YuzPavSw4AX9olEWK&_nc_ht=scontent.xx&oh=34906b3a78839d2245d5f99921d8a453&oe=5E73EA82,,🎀 Dress from @ohpolly,,,,1.64
Amanda Lee,amandaeliselee,9538570,2017-06-30 14:23:20 EDT,2017-06-30,14:23:20,Photo,"286,635",282974,3661,0,https://www.instagram.com/p/BV-UBDODi-3/,https://www.instagram.com/p/BV-UBDODi-3/,https://scontent.xx.fbcdn.net/v/t51.2885-15/19533814_518817618509958_1903190937610223616_n.jpg?_nc_cat=110&_nc_ohc=RknX_rprwJIAX8smNDm&_nc_ht=scontent.xx&oh=1d5c6c8d2d12f8b02e60d3ada1a8f3b0&oe=5E865F53,,Morning cardio done ✅,,,,1.25
Amanda Lee,amandaeliselee,9492397,2017-06-23 14:01:35 EDT,2017-06-23,14:01:35,Photo,"266,906",264266,2640,0,https://www.instagram.com/p/BVsP9jbDjfo/,https://www.instagram.com/p/BVsP9jbDjfo/,https://scontent.xx.fbcdn.net/v/t51.2885-15/19367708_1290114954419810_2349140454265585664_n.jpg?_nc_cat=109&_nc_ohc=i5XayWJI-V4AX_RhX7k&_nc_ht=scontent.xx&oh=47254d509222e34000a3246c79f47716&oe=5E76B5C9,,Happy place 🦋,,,,1.17
Amanda Lee,amandaeliselee,9451340,2017-06-19 20:35:56 EDT,2017-06-19,20:35:56,Photo,"290,382",286914,3468,0,https://www.instagram.com/p/BVip6ZyDN9c/,https://www.instagram.com/p/BVip6ZyDN9c/,https://scontent.xx.fbcdn.net/v/t51.2885-15/19367169_1947325465551329_3877030324848295936_n.jpg?_nc_cat=108&_nc_ohc=7-7GgCD5gzwAX9jtUR7&_nc_ht=scontent.xx&oh=1639b26162b96e65d32cd3ae1bb69937&oe=5E8BE517,,Set from @aloyoga 💕,,,,1.27
Amanda Lee,amandaeliselee,9384402,2017-06-12 17:28:51 EDT,2017-06-12,17:28:51,Photo,"282,790",278133,4657,0,https://www.instagram.com/p/BVQS7-sDiaN/,https://www.instagram.com/p/BVQS7-sDiaN/,https://scontent.xx.fbcdn.net/v/t51.2885-15/19051602_441415926240329_7573556660443021312_n.jpg?_nc_cat=103&_nc_ohc=udTE5xOatyIAX_QcVaN&_nc_ht=scontent.xx&oh=d896733363ad97725d7ea9c9e6c8dba6&oe=5E757C1F,,Leg day ✔️,,,,1.24
